c,largest_lyapunov_exponent,z_span
1.339999999999999858e+00,1.932544712699566262e-03,2.664514393186588670e+00
1.344999999999999973e+00,-2.300805326204734182e-03,2.651804513026629451e+00
1.349999999999999867e+00,3.665620456513364947e-03,2.639551125436910173e+00
1.354999999999999982e+00,4.968768518955600857e-03,2.630856830395963186e+00
1.359999999999999876e+00,6.838862888624504949e-03,2.631789838978320972e+00
1.364999999999999991e+00,7.125936727635113870e-03,2.653414430911896993e+00
1.369999999999999885e+00,7.102730081303087334e-03,2.751324429953498019e+00
1.375000000000000000e+00,-1.143009430042390322e-03,2.791233590027588196e+00
1.379999999999999893e+00,-7.796994734053057721e-03,2.809724502974622062e+00
1.385000000000000009e+00,-6.618219175700481779e-03,2.814751877079390674e+00
1.389999999999999902e+00,3.264118014604955147e-03,2.810840098065443105e+00
1.395000000000000018e+00,6.072755435718070341e-04,2.795734617511904219e+00
1.399999999999999911e+00,7.124512134111557482e-02,2.805250183882321835e+00
1.405000000000000027e+00,1.127023356605926507e-01,2.801982616360013445e+00
1.409999999999999920e+00,1.774051089747449017e-01,2.796062815668468815e+00
1.415000000000000036e+00,1.559709911722926556e-01,2.795249838241711249e+00
1.419999999999999929e+00,2.197351448046697686e-01,2.792058157689389031e+00
1.425000000000000044e+00,1.811239070132943940e-01,2.788213954124561855e+00
1.429999999999999938e+00,1.495831118160594331e-01,2.785107506147848966e+00
1.435000000000000053e+00,2.205983578211330454e-01,2.781691077197412820e+00
1.439999999999999947e+00,1.919921092866009038e-01,2.777843986618034222e+00
1.444999999999999840e+00,1.639817187934335119e-01,2.775137327593156567e+00
1.449999999999999956e+00,1.899296664977388471e-01,2.771399227539149024e+00
1.455000000000000071e+00,2.228720368174367528e-01,2.765160902638566398e+00
1.459999999999999964e+00,1.908321515630540255e-01,2.754845649927919915e+00
1.464999999999999858e+00,2.059194620560853284e-01,2.747843027434136332e+00
1.469999999999999973e+00,1.694704364036619393e-01,2.758600217447181091e+00
1.475000000000000089e+00,4.847932326787456579e-03,2.597265793364861075e+00
1.479999999999999982e+00,-4.436748986387022316e-03,2.585873683590585337e+00
1.484999999999999876e+00,3.632617332524423022e-04,2.572537764760137513e+00
1.489999999999999991e+00,5.079380906641049222e-03,2.558573751088313752e+00
1.494999999999999885e+00,5.166574562695983724e-02,2.740137552043672819e+00
1.500000000000000000e+00,3.474559931322621781e-02,2.735703446433746855e+00
1.504999999999999893e+00,1.511325134113300495e-02,2.573937578814703198e+00
1.510000000000000009e+00,-2.216993815078420124e-03,2.496719593682706684e+00
1.514999999999999902e+00,2.066578972594942665e-01,2.729374572832957924e+00
